,strDrink,strCategory,strDrinkThumb,strIngredients,strInstructions
0,57 Chevy with a White License Plate,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,"Creme de Cacao, Vodka  ",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1,1-900-FUK-MEUP,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,"Absolut Kurant, Grand Marnier, Chambord raspberry liqueur, Midori melon liqueur, Malibu rum, Amaretto, Cranberry juice, Pineapple juice, ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
2,110 in the shade,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,"Lager, Tequila  ",Drop shooter in glass. Fill with beer
3,151 Florida Bushwacker,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,"Malibu rum, Light rum, 151 proof rum, Dark Creme de Cacao, Cointreau, Milk, Coconut liqueur, Vanilla ice-cream, ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
4,155 Belmont,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,"Dark rum, Light rum, Vodka, Orange juice ",Blend with ice. Serve in a wine glass. Garnish with carrot.
5,24k nightmare,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"Goldschlager, Jägermeister, Rumple Minze, 151 proof rum ","Add over ice,shake and pour."
6,252,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"151 proof rum, Wild Turkey  ","Add both ingredients to shot glass, shoot, and get drunk quick"
7,3 Wise Men,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,"Jack Daniels, Johnnie Walker, Jim Beam   ",put them them in a glass... and slam it to tha head.
8,3-Mile Long Island Iced Tea,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"Gin, Light rum, Tequila, Triple sec, Vodka, Coca-Cola, Sweet and sour, Bitters, Lemon",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
9,410 Gone,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"Peach Vodka, Coca-Cola  ",
10,50/50,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,"Vanilla vodka, Grand Marnier, Orange juice   ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
11,501 Blue,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,"Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up  ",Mix equal amounts into a glass with ice.
12,69 Special,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"Gin, 7-Up, Lemon juice   ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
13,747,Shot,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"Kahlua, Bailey's irish cream, Frangelico   ","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
14,9 1/2 Weeks,Cocktail,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,"Absolut Citron, Orange Curacao, Strawberry liqueur, Orange juice ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
15,A Day at the Beach,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"Coconut rum, Amaretto, Orange juice, Grenadine ","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
16,A Furlong Too Late,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,"Light rum, Ginger beer, Lemon peel   ",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
17,A Gilligan's Island,Cocktail,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"Vodka, Peach schnapps, Orange juice, Cranberry juice ","Shaken, not stirred!"
18,A Night In Old Mandalay,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"Light rum, Añejo rum, Orange juice, Lemon juice, Ginger ale, Lemon peel , ","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
19,A Piece of Ass,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,"Amaretto, Southern Comfort, Ice, Sour mix ",Put ice in glass. Pour in shots. Fill with Sour Mix.
20,A Splash of Nash,Shot,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,"Cranberry juice, Soda water, Midori melon liqueur, Creme de Banane ",Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.
21,A True Amaretto Sour,Cocktail,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,"Amaretto, Lemon, Ice, Maraschino cherry ","Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
22,A midsummernight dream,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,"Vodka, Kirschwasser, Strawberry liqueur, Strawberries, Schweppes Russchian  ","Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water"
23,A. J.,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,"Applejack, Grapefruit juice  ","Shake ingredients with ice, strain into a cocktail glass, and serve."
24,A.D.M. (After Dinner Mint),Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,"White Creme de Menthe, Southern Comfort, Vodka, Hot chocolate ",shake vigorously
25,A1,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"Gin, Grand Marnier, Lemon Juice, Grenadine ","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
26,ABC,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"Amaretto, Bailey's irish cream, Cognac   ",Layered in a shot glass.
27,ACID,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"151 proof rum, Wild Turkey  ",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
28,AT&T,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"Absolut Vodka, Gin, Tonic water   ","Pour Vodka and Gin over ice, add Tonic and Stir"
29,Abbey Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,"Gin, Orange bitters, Orange, Cherry ",Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
30,Abbey Martini,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,"Gin, Sweet Vermouth, Orange Juice, Angostura Bitters ","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
31,Abilene,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,"Dark rum, Peach nectar, Orange juice   ",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
32,Absinthe #2,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,"Vodka, Sugar, Anise, Licorice root, Wormwood  ","Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy."
33,Absolut Evergreen,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,"Absolut Citron, Pisang Ambon, Ice, Bitter lemon ","Mix, pour over ice and top up with Bitter Lemon."
34,Absolut Sex,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,"Absolut Kurant, Midori melon liqueur, Cranberry juice, Sprite ","Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
35,Absolut Stress #2,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,"Absolut Vodka, Peach schnapps, Coconut liqueur, Cranberry juice, Pineapple juice  ",Mix well. Garnish with Orange and Cherry. Enjoy
36,Absolut Summertime,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,"Absolut Citron, Sweet and sour, Sprite, Soda water, Lemon  ",Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
37,Absolut limousine,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,"Absolut Citron, Lime juice, Ice, Tonic water ",Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
38,Absolutely Cranberry Smash,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,"Absolut Vodka, Cranberry juice, Ginger ale, Ice ",Stir ingredients together. Serve over ice.
39,Absolutely Fabulous,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,"Vodka, Cranberry Juice, Champagne   ",Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
40,Absolutly Screwed Up,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,"Absolut Citron, Orange juice, Triple sec, Ginger ale ","Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
41,Acapulco,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint , ",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
42,Ace,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"Gin, Grenadine, Heavy cream, Milk, Egg White  ",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
43,Adam,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,"Dark rum, Lemon juice, Grenadine   ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
44,Adam & Eve,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,"Gin, Cognac, Creme de Cassis, Fresh Lemon Juice ",Shake together all the ingredients and strain into a cold glass.
45,Adam Bomb,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice, ","Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice."
46,Adam Sunrise,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,"Vodka, Lemonade, Water, Sugar ","Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
47,Addington,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,"Sweet Vermouth, Dry Vermouth, Soda Water   ",Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water.
48,Addison,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"Gin, Vermouth  ",Shake together all the ingredients and strain into a cold glass.
49,Addison Special,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,"Vodka, Grenadine, Orange juice   ",Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
50,Adios Amigos Cocktail,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,"Rum, Dry Vermouth, Cognac, Gin, Fresh Lime Juice, Sugar Syrup, Water ",Shake together all the ingredients and strain into a cold glass.
51,Adonis Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,"Sweet Vermouth, Sherry, Orange bitters   ","Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
52,Affair,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda ","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
53,Affinity,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
54,After Dinner Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,"Apricot brandy, Triple sec, Lime, Lime ",Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.
55,After Five,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,"Peppermint schnapps, Kahlua, Bailey's irish cream   ","1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled"
56,After Supper Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,"Triple sec, Apricot brandy, Lemon juice   ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
57,After sex,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,"Vodka, Creme de Banane, Orange juice   ",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
58,Afterglow,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,"Grenadine, Orange juice, Pineapple juice   ",Mix. Serve over ice.
59,Afternoon,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,"Kahlua, Bailey's irish cream, Frangelico, Coffee, Cream  ","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
60,Alabama Slammer,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,"Southern Comfort, Amaretto, Sloe gin, Lemon juice ","Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
61,Alaska Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,"Orange bitters, Gin, Yellow Chartreuse, Lemon peel ","Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
62,Alexander,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,"Gin, Creme de Cacao, Light cream, Nutmeg ",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
63,Alfie Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,"Lemon vodka, Triple sec, Pineapple juice   ","Combine and shake all ingredients with ice, strain into a cocktail glass, and serve."
64,Algonquin,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,"Blended whiskey, Dry Vermouth, Pineapple juice   ","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
65,Alice Cocktail,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,"Grenadine, Orange juice, Pineapple juice, Cream ","Shake well, strain into a large cocktail glass."
66,Alice in Wonderland,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,"Amaretto, Grand Marnier, Southern Comfort   ",Just mix the three ingredients one to one to one
67,Allegheny,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,"Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel  ",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
68,Allies Cocktail,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,"Dry Vermouth, Gin, Kummel   ","Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
69,Almeria,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,"Dark rum, Kahlua, Egg white   ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
70,Almond Chocolate Coffee,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,"Amaretto, Dark Creme de Cacao, Coffee   ",Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
71,Almond Joy,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,"Amaretto, Creme de Cacao, Light cream   ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
72,Aloha Fruit punch,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,"Water, Ginger, Guava juice, Lemon juice, Pineapple, Sugar, Pineapple juice ","Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly."
73,Amaretto And Cream,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,"Amaretto, Light cream  ","Shake well with cracked ice, strain contents into a cocktail glass, and serve."
74,Amaretto Liqueur,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,"Sugar, Water, Apricot, Almond flavoring, Grain alcohol, Water, Brandy, Food coloring, Food coloring","Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging."
75,Amaretto Mist,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,"Amaretto, Lime  ","Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
76,Amaretto Rose,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,"Amaretto, Lime juice, Club soda   ",Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
77,Amaretto Shake,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,"Chocolate ice-cream, Brandy, Amaretto   ",Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
78,Amaretto Sour,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,"Amaretto, Sour mix  ",Shake and strain. Garnish with a cherry and an orange slice.
79,Amaretto Stinger,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,"Amaretto, White Creme de Menthe  ","Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."
80,Amaretto Stone Sour,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,"Amaretto, Sour mix, Orange juice   ",Shake and Serve over ice
81,Amaretto Stone Sour #3,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,"Sour mix, Amaretto, Tequila, Orange juice ","Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
82,Amaretto Sunrise,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,"Amaretto, Orange juice, Grenadine   ",Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
